zbest_b_[j]	EBV_b_[j]	e_EBV_[j]	E_EBV_[j]	SFR_b_[j]	e_SFR_[j]	E_SFR_[j]	Mstar_b_[j]	e_Mstar_[j]	E_Mstar_[j]	RA_b_[j]	DEC_b_[j]	SDSS_NAME_[i]	RA_[i]	Dec_[i]	REDSHIFT_[i]	LOG_MBH_[i]	LOG_MBH_ERR_[i]	LOG_LBOL_[i]	LOG_REDD_[i]  LE[j]   LSbc[j]
0.8900	0.1422	0.03699999999999999	0.037000000000000005	6.261e+01	19.880000000000003	19.879999999999995	3.188e+11	10200000000.0	10200000000.0	33.54705	-5.28233	021411.30-051656.2	33.547123	-5.282297	0.89	8.507735629738054	0.0653419011018134	45.10224199023806	-1.5453727259012278  0.0 4.46e+45
0.8668	0.0859	0.022199999999999998	0.022199999999999998	2.084e+01	3.8000000000000007	3.8000000000000007	9.742e+10	21360000000.0	21380000000.0	33.65819	-3.09121	021437.96-030528.1	33.658184	-3.091136	0.8668006	8.524441764060686	0.06841640980097574	45.46210376216043	-1.2022170883014918  0.0 4.952e+45
0.8539	0.0000	0.0	0.005	0.000e+00	0.0	0.01	2.731e+11	21100000000.0	21100000000.0	33.80135	-0.17246	021512.32-001020.8	33.801342	-0.172449	0.8539	8.781666550617766	0.09695649989862319	45.23490394518494	-1.6866416918340639  5.415e+44 0.0
0.8210	0.0059	0.0014999999999999996	0.0015000000000000005	9.361e+00	0.22300000000000075	0.2240000000000002	1.215e+11	2900000000.0	2900000000.0	34.19564	-9.118	021646.92-090704.6	34.195518	-9.117939	0.821	8.12275862878405	0.4568448458289591	45.4161883665765	-0.8464493486087881  0.0 9.275e+44
0.8120	0.0412	0.0104	0.010500000000000002	-9.990e+02	0.0	0.0	-9.990e+02	0.0	0.0	34.4176	0.51929	021740.23+003109.3	34.417663	0.51927188	0.812	7.505239183711578	0.19922273362554663	44.671090718416764	-0.9740275516960513  0.0 0.0
0.8857	0.1883	0.0494	0.0494	2.137e+01	3.2699999999999996	3.2699999999999996	1.080e+11	23890000000.0	23900000000.0	34.73824	-0.69961	021857.19-004158.4	34.738334	-0.69957724	0.8857	8.657821293568853	0.13934122308810454	45.267168234930296	-1.5305321450397946  0.0 2.441e+45
0.8270	0.0266	0.006999999999999999	0.006900000000000003	9.558e+00	0.26399999999999935	0.26500000000000057	8.103e+10	2240000000.0	2240000000.0	35.67567	-8.1001	022242.15-080600.3	35.675653	-8.1000856	0.827	8.600301016288117	0.06803347920148267	45.423633701021444	-1.3165464016679103  0.0 7.449e+45
0.8993	1.0623	0.2835	0.2835000000000001	2.011e+01	3.849999999999998	3.84	1.661e+11	22500000000.0	22600000000.0	36.47628	-7.60319	022554.31-073611.6	36.476311	-7.603218	0.8993	8.296120321945274	0.11462181107716066	45.36715968729675	-1.0688397210497629  0.0 0.0
0.8086	0.0139	0.003599999999999999	0.003700000000000002	-9.990e+02	0.0	0.0	-9.990e+02	0.0	0.0	36.48025	2.09379	022555.23+020537.8	36.480166	2.0938501	0.8086007	8.1945976687741	0.23375359933122003	45.175696305380455	-1.1587804497948808  0.0 8.54e+44
0.8020	0.0163	0.004199999999999999	0.004300000000000002	3.036e+01	0.16000000000000014	0.16000000000000014	4.061e+11	2200000000.0	2200000000.0	37.33155	-5.07736	022919.56-050438.5	37.331533	-5.0773748	0.802	8.43352866032541	0.058515790461535766	45.29047124784594	-1.2829364988807035  0.0 0.0
